,昵称,口味,环境,服务,人均,评论,时间
0,诺宝宝,4.0,5.0,4.0,NONE,嗯嗯很是不错，位置在负一楼，下走几步就看到了，大周一的人还是可以，我们要了四个菜加四个烤串，三个人...,2019-11-2512:05
1,Mr_帆先生,5.0,5.0,5.0,120元,昨天和朋友过生日去吃，点了两个羊肉串，西红柿浇汁莜面，莜面蒸饺，酸菜炒莜面，还有一个菌菇类的炒菜。...,2019-11-2509:46
2,羊毛90,5.0,5.0,5.0,130元,朋友回北京考试，住在苹果园，在我俩中间位置找地方吃饭，就了西单一直草湛酪饼，很香，能量高，有满...,2019-11-2412:40
