,昵称,口味,环境,服务,人均,评论,时间
0,爱大白的朵朵,5.0,5.0,5.0,NONE,西贝的食物真的是没得说，能全程看到厨师在做什么。肉很鲜，味道很好，但就是太贵。莜面鱼鱼都要50多了...,2019-10-2822:36
1,柠.檬不萌,5.0,5.0,5.0,NONE,下班跟同事凑聚吃个饭，遛弯走进了一家店环境很好，桌布很好看，很趁景；服务也很热心周到，看到茶水少...,2019-10-2822:17
2,长腿小舅舅,5.0,5.0,3.0,120元,菜品很少，但是喜欢的吃的那几个都还不错，活动比较少。京东金融可以兑换代金券，可以先兑换个代金券在消费。还挺合适的人,NONE
3,蛋仔_5238,4.0,3.0,5.0,150元,好久不见西贝莜面村真是很久不来西贝了，是看了最的菜单觉得还不错就来了，服务一如既往的热情周到，开...,2019-10-2714:31
4,辣辣,5.0,5.0,5.0,NONE,很喜欢西贝家的装修风格，格子布的桌布，让人觉得温暖惬意，果实累累的餐盘，让人看着就有食欲，真的每道菜...,2019-10-2522:12
5,zj_tongyan,5.0,5.0,5.0,NONE,今天点了几个新品：烤小土豆拼芋头（看图很大，上桌后发现是很小的一份，沾着酱感觉还可以，更喜欢芋头条多...,2019-10-2418:43
6,黑咖啡182008,4.0,4.0,5.0,NONE,路过吃个夜宵买个早点以为楼上有个原麦山丘后变喜茶了我没面包吃了看到B1有西贝看看想买个馒头一...,2019-10-23  更新于2019-10-2408:36
7,killer0288,3.0,5.0,5.0,NONE,老是听人说西贝，也老看见西贝，今儿我就趁着午饭去尝了尝，点了一个羊肉汤鱼鱼，2.3两的扇骨肉。这个鱼...,2019-10-2313:18
8,一鸣的小讲堂,5.0,3.0,5.0,115元,在君太地下一层，位置很好找。服务态度特别好，普遍都很有亲和力！服务满分。菜品上，黄米凉糕很好吃，粘...,2019-10-2221:04
9,胖小D,4.0,4.0,4.0,NONE,很喜欢餐厅的红桌布温馨。上菜快，有计时满意。办了一个299的会员卡，赠三个菜，每满100可用一张。还有生...,2019-10-2218:31
10,redcherry0723,5.0,5.0,5.0,100元,君太逛街，门口的大棒骨吸引眼球，菜的品种不是特别多，但是很有特色，味道也很好，湛酪饼特别推荐，很...,2019-10-2117:52
11,梦幻的海龟,4.0,3.0,3.0,NONE,西贝莜面村不管是哪一家都很火，西单君太百货地下一层的这家更是生意火爆。君太百货里的餐厅桌椅密度都很大...,NONE
12,happy_moon,5.0,5.0,5.0,110元,牛力骨做的很软烂入味，蘸料也非常香，口味不会很重，非常好吃手撕椒麻鸡很麻，分量略少浇汁莜面味道很好。一直很喜欢。每次必点。肉夹馍有点小。味道还算可以吧。总体，西贝还是偏贵些。,NONE
13,匿名用户,4.0,4.0,5.0,140元,本以为它家性价比还可以，三个人没吃啥就400多了……感觉应该不会再了,NONE
14,快乐哼哼,5.0,5.0,5.0,100元,【店铺】位于西单君太地下一层「西贝面筋」：内蒙的风味，很正宗。「黄米凉糕」：软软糯糯的非常好吃，尤...,2019-10-1920:39
