,昵称,口味,环境,服务,人均,评论,时间
0,dpuser_80025744845,3.0,3.0,3.0,150元,西贝就是贵贵贵，与菜品环境不匹配，就是贵,NONE
1,大饭团子,5.0,5.0,5.0,NONE,吃西贝莜面村很多次了，从开始被他家的那个小高压锅炖土豆牛肉迷住开始，每次都必须要求点这个，配米饭真...,2019-11-2500:26
2,Suen_7319,4.0,4.0,4.0,100元,服务环境都很不错，就是不知道烤羊腰子为啥要49一串，而且是很小的腰子，很不值得！你们家主打的牛棒骨贵也就算了，没话说，毕竟是招牌，可一串羊腰子卖49，不太像话。,NONE
3,尹志刚_5316,5.0,5.0,5.0,NONE,服务员的服务非常好，菜品种类繁多，口感不错。,NONE
4,留留,3.0,3.0,3.0,NONE,快餐，差不多就这意思吧，方便，快捷，果腹,NONE
5,kelinshmily,5.0,5.0,5.0,120元,去过的占地最大的一家西北！从此再也不用担心等位～因为位置够多，即使饭点到也不会等太久，简直太赞。一...,2019-11-2216:24
6,棉姑娘,4.0,4.0,4.0,NONE,总店这儿，我和朋友过来吃过大概有4次了？其实就是为了就。有几个服务员态度真不错，但是感觉总体服务不...,NONE
7,sq517,5.0,5.0,5.0,80元,西贝香草星冰乐抹茶可可碎片星冰乐颜值都好高啊啊啊啊每次必点抹茶星冰乐带南方客户吃北方的面食，因...,2019-11-2115:44
8,dpuser_15130354217,4.0,4.0,4.0,NONE,菜品不错，价格合理，经常去，喜欢功夫鱼,NONE
9,匿名用户,1.0,1.0,1.0,NONE,想订个大包房打电话通了没人吭声，打了5次都是这个情况！,NONE
10,清酒华裳,5.0,4.0,5.0,NONE,感觉以后连他家也吃不起了，虽然说他家味道真不错的，但是这个价格感觉涨的太厉害了，再加上他家量也不是很...,2019-11-1919:38
11,金融钥匙1234567890,5.0,5.0,5.0,NONE,第一次来总店，真够大的，没想到西贝还有这么大店。味道还可以！,NONE
12,yuAn881012,4.0,4.0,4.0,NONE,和朋友过来吃饭原以为人多提前点好结果少了2个人感觉菜一下点多了烤羊腿说实话真心没有烤肉串好吃...,2019-11-1718:47
13,andy66017123,5.0,5.0,5.0,120元,朋友请客来到的这家店，西北菜的风格，环境很简约，饭菜的味道不错，服务也很棒。,NONE
14,小肥羊,5.0,5.0,5.0,150元,家附近最常光顾的餐厅,2019-11-1613:17
