,昵称,口味,环境,服务,人均,评论,时间
0,小鱼儿与花无缺,5.0,5.0,5.0,NONE,年底了就是吃吃吃喝喝喝的节奏减肥期间的我还是吃了不少牛肉羊肉能够和孩子和老公一起想吃什么吃什...,2020-01-1303:22
1,匿名用户,0.5,0.5,0.5,170元,价格贵，包间上菜慢，记花，多记了一瓶268的酒，现在怎么还有这样的餐馆,NONE
2,hliptre,3.5,5.0,0.5,200元,位置不错，在辅路边。早去的话，会有车位。店内环境还是不错，人多但不嘈杂。这车尝试了下新品的鱼，没有...,2020-01-1215:02
3,匿名用户,4.5,4.5,4.5,150元,菜品非常赞，很有西北特色，服务到位。,NONE
4,若欢,3.5,5.0,3.5,NONE,挺火的一家面店，今天路过咱也不知道为什么关门了，是因为过节提前关门还是咋的。,NONE
5,人这种生物永远读不懂,5.0,5.0,5.0,NONE,环境很漂亮，很喜欢,NONE
6,无疆的行者,3.5,3.5,4.5,NONE,去北京与同学聚会，住在西站附，朋友订的西贝，第一次到这个店，是03年的时候，客带我过来，那是就叫西...,2020-01-0917:49
7,Wux_1767,5.0,5.0,5.0,NONE,每次都会点牛肉土豆条，但是事实证明，其它的菜也都很好吃。干净卫生，服务也好。经常带母上大人去吃。光看...,NONE
8,zhuoercjq,5.0,4.5,4.0,NONE,家宴聚会，早早预定了包间，中午到达的时候，已经人山人海了～老店开了很多年，各种菜品味道一如既往～喜欢...,2020-01-0818:56
9,海鲜123BBQ大人,5.0,5.0,5.0,NONE,「西贝面筋」「西贝莜面」「蘑菇汤莜面鱼鱼」「胡里炒鸡蛋」「小米凉糕」「沙棘汁（复合果蔬饮料）」「烤羊...,2020-01-0817:10
10,值得被记录,5.0,5.0,5.0,NONE,这家店离家不远。上次来因为下午闭店了。这次饭点儿去的。服务员各个态度热情。进屋拉窗帘。门口接待笑脸相...,2020-01-0815:36
11,WXX1122,3.0,3.0,3.0,NONE,西贝莜面村标榜闭着眼睛都可以点菜，道道都好吃，客人点了菜，可是点了很多菜，都是辣的，我们带孩子来的大...,2020-01-0714:24
12,Crystal洋娃娃,5.0,4.5,5.0,NONE,味道不错，特别推荐番茄鸡蛋空心面，手工空心挂面上过舌尖上的中国，特别好吃。,NONE
13,琦_1617,5.0,5.0,5.0,NONE,以前从没想走进西贝吃东西，搬到西贝附近后，尝了一次就爱上了，真的是闭着眼点都好吃！「西贝莜面」应该是...,NONE
14,KA葉,5.0,5.0,5.0,100元,「西贝凉皮」「西贝面筋」每次西贝必点，口感不咸不淡，刚刚好。「张爷爷酸汤手工空心挂面」老爸的最爱...,2020-01-0612:19
