,昵称,口味,环境,服务,人均,评论,时间
0,Sophie_2266,4.5,5.0,4.5,150元,离家不远，常常走着过去。每次必点西贝凉皮！西北菜做得很地道，非常精致，确实用心在做菜！上菜很快，就是...,2019-12-1915:47
1,伊诺,4.5,4.5,4.5,NONE,菜品丰富，味道正宗，难怪人气一直那么旺，推荐大家前往品尝「蒙古酸湛」「西贝凉皮」「酥皮肉夹馍」「蒙古湛酪饼」,NONE
2,mini-young,5.0,5.0,5.0,NONE,非常希望单份的原味莜面可以重出江湖就是西红柿浇汁的那个莜面放在一个小笼屉里现在缸缸羊杂重出江湖以后很想单独要一份莜面窝窝泡在羊杂里有羊杂又有西贝的招牌莜面绝对好吃到爆！望收纳意见！,NONE
3,dpuser_5087927435,5.0,5.0,5.0,140元,这个是西贝的总店，环境不错，我们预订了一个包间，18个人，还是很宽敞的，服务员服务态度特别好，特别热情...,2019-12-1610:11
4,mengmeng,5.0,5.0,5.0,NONE,家庭聚会，有老人孩子，整体感觉很好。服务员非常热情，有海底捞的感觉了。牛棒骨炖的很烂，孩子吃一点不成...,2019-12-1520:37
5,点点13345,3.0,3.0,3.0,170元,周末的中午实在是人太多，以至于上菜速度和服务都大打折扣。免费车位不多，引导停进旁边小区是要收费的。服...,2019-12-1518:52
6,贴心猪宝贝,4.5,4.5,4.5,110元,给婆婆过生日，提前一天订了包间居然很好订；点了喜欢的酸菜炖骨头、功夫鱼、莜面鱼鱼、烤羊肉串、黄米凉糕...,2019-12-1516:44
7,梅里达merida,4.5,4.5,4.5,NONE,不知道吃什么吃西贝就对了反正就那么几种菜闭着眼就选出了「蒙古牛大骨」今儿这骨头选的有点大俩人没...,2019-12-1423:16
8,Succuba,5.0,5.0,5.0,NONE,家门口的店之前人气一直很旺最近不好停车感觉有些冷清了品质一向很不错有是自己懒得出门在家叫外卖也...,NONE
9,马铃薯小鬼,4.5,5.0,5.0,150元,经常来这家吃来的少了服务还是一直很不错连保安大叔都超级热情()不过新加了一些菜很多菜的细节也...,2019-12-14  更新于2020-01-0223:18
10,优小O,5.0,5.0,5.0,NONE,和家里人一起去的，晚上不用订座也可以安排在安静的包间。蒙古酸湛和新出的湛酪饼是小朋友最爱，石磨豆腐拌...,2019-12-1320:23
11,像我这样的人,4.0,4.0,4.0,NONE,西北莜面村就在和谐广场的东边，在六里桥西的方向，他家的菜做的还是蛮不错的，就是人还是比较多的，如果说...,NONE
12,豆豆的小叮当,5.0,5.0,5.0,150元,#点评有礼#同事聚餐选择了高端大气上档次的西贝，搞得像旗舰店似的，很不错口味没得说，每道菜各有特色...,2019-12-1313:49
13,SharpLittleTeeth,4.5,4.5,5.0,100元,西贝是真的不太对我口味，但这一家赢在真的把服务做得很到位，一顿饭吃下特舒服。点了个扇子骨400多，...,2019-12-1217:06
14,Mavis小小,4.5,4.0,4.5,NONE,朋友们聚餐，选择了六里桥西贝，好几年没来过了，感觉装修变了，今天在二楼的包间，服务员很热情，照顾周到...,2019-12-1119:19
