,昵称,口味,环境,服务,人均,评论,时间
0,Naomi&amp;Jonathan,5.0,4.0,5.0,100元,好久没来吃西贝了，恰逢有活动满200减100还是很划算的。最爱吃牛肉土豆条，土豆面糯牛肉条也很嫩每次来都...,2019-10-1919:09
1,dpuser_68755412161,5.0,5.0,5.0,90元,很不错，这个点时间已经非常久了,NONE
2,匿名用户,5.0,5.0,5.0,80元,东西不错，味道很好，尤其是服务很周到，就是价钱偏高,NONE
3,Ohh,1.0,1.0,1.0,NONE,望你们以后能对这些细节服务重视起来下次还会去的还会关注这些问题,NONE
4,小雨雨雨吖,5.0,5.0,5.0,NONE,「黄米凉糕」好喜欢，这桂花蜂蜜味道特别好吃哈哈哈，每次必点项目。「西贝凉皮」凉皮一直都是喜爱，西贝...,2019-10-1422:30
5,lvff_0925,5.0,5.0,5.0,150元,过生日今年和LG选择来西贝庆祝,2019-10-1415:26
6,檬啊朦啊萌,5.0,5.0,4.0,NONE,西贝莜面村，口味不错吧，点的菜很少有踩雷的。环境也很好，车位上店家也会积极处理。会员卡必须得花钱充值...,2019-10-1316:45
7,愿望何在,4.0,4.0,4.0,90元,点过几次他家店的外卖整体味道还算说得过去，张爷爷酸汤空心挂面味道很不错的热汤面点了很多次了，还有烤羊...,2019-10-1221:52
8,贪吃球0204,4.0,4.0,4.0,NONE,北京吃了几天大鱼大肉重口的菜品后，还是更加青睐西贝的莜面和凉皮。国庆期间物流限制，羊肉串烤不了～羊排...,2019-10-1023:22
9,四四方方,5.0,5.0,5.0,50元,店里环境很好，店面很大，菜品味道都不错，西北面食做的很好，强烈安利老爷爷酸汤挂面。,NONE
10,黄景瑜女朋友,4.0,4.0,5.0,NONE,其实没有经常西贝吃饭，但是每次都有特别的感觉。这次是家庭聚会，门口的服务生看到有老人，小跑着过...,2019-10-0923:47
11,二,4.0,4.0,3.0,NONE,上次路过吃的，味可以，环境可以，卫生干净。服务感觉服务员很忙。,NONE
12,平安爹,4.0,4.0,4.0,NONE,扒莜面、西贝凉皮、莜面鱼鱼、自制石磨豆腐都值得推荐,NONE
13,朱迪贺,3.0,3.0,2.0,NONE,十一的家庭聚餐又在西贝。这次怎么服务这么差劲呢？是人多吗？可是平时都人多啊，为什么这次服务这么差，送...,2019-10-0721:34
14,seagull_431,3.0,3.0,1.0,NONE,菜的味道一如既往，还不错。就是服务员讨厌，一直故意推销大菜，点别的都没有，巧合的是中间有别的服务员上错菜，正好是我们要点她说没有的菜，太过份！,NONE
