,昵称,口味,环境,服务,人均,评论,时间
0,郑小仙儿,5.0,5.0,5.0,140元,来这家店很多年了，据说很多菜都是这边出品的！还是一如既往的好吃 「大盘鸡」特别喜欢的一道菜，如果...,2019-12-0419:01
1,享得美,4.0,4.0,4.0,NONE,莜面做的不错哈，偶尔吃吃还是不错哒,NONE
2,小郗,5.0,5.0,5.0,NONE,好久没回西贝吃饭了～完美,2019-12-0312:20
3,板儿锹,1.0,4.0,3.0,NONE,差评！要的要的封缸肉烩豆腐，牛肉，虾仁鸡蛋都没有，只有豆腐和猪肉,NONE
4,love暖暖forever,5.0,4.0,5.0,150元,广告语挺好，闭着眼睛点都好吃，可能是比较符合我口味，觉得随便点都好吃，我同事就觉得一般。包间环境还行...,2019-12-0215:19
5,王亮,5.0,5.0,5.0,NONE,「功夫鱼」「西贝面筋」「黄米凉糕」「蘑菇汤莜面鱼鱼」「蒙古牛大骨」「西贝莜面」「小米凉糕」「罗马生菜...,2019-12-0114:19
6,乐陶淘_1651,5.0,5.0,5.0,150元,位置：在六里桥西边约500米路北店面：是一栋黄色两层小楼，装修是西北窑洞风格，一层是散座和明档料理，二...,2019-12-0114:10
7,墨鱼丸子,5.0,5.0,5.0,90元,吃大盘鸡，就来西贝，因为有辣子，自打去了新疆吃过辣子拌面后就无法阻止老公对辣子的爱。。。每次...,2019-12-01  更新于2019-12-0900:05
8,胖嘟嘟903814,5.0,5.0,5.0,NONE,突然想起来一个多月前的还没点评,2019-11-2921:29
9,随变咖啡09,4.0,5.0,5.0,NONE,六里桥这个西贝，逼格很高，环境不错，请客有面子。,NONE
10,dehui83,5.0,5.0,5.0,NONE,哇，送了一大碗长寿面，好吃    ,NONE
11,seataOREO,4.0,5.0,5.0,120元,「功夫鱼」味道和以前一样，炖的很烂。骨头可以直接吃「蒙古酸奶」包装换了，这种的更简易，以前更环保，...,NONE
12,800_tank123,4.0,4.0,4.0,NONE,"已经过几次了,有家庭聚餐的，也有同好友聚会的。味道呢一直是不错，而且呢，有包间这一点是特别吸引...",NONE
13,匿名用户,5.0,4.0,5.0,NONE,今天孩子生日送的寿面是她最爱吃的张爷爷手工挂面每次必点酸汤真的很好吃这一大碗孩子差不多都吃了...,2019-11-2618:00
14,放飞的鑫情,5.0,5.0,5.0,NONE,位置在路边，特别好找，宽敞，一进门就有看到西北风味的特点，好多菜都没有拍就照了这两个，光吃了,2019-11-2611:26
