,昵称,口味,环境,服务,人均,评论,时间
0,咕叽咕叽,5.0,5.0,5.0,110元,「西贝凉」每次必点，入味好吃，开胃爽口「黄米凉糕」软糯香甜，口感细腻，层次丰富「牛腿骨」牛骨软烂...,2020-02-1312:03
1,不瘦十斤不改名字,5.0,4.0,4.0,NONE,每次回家都会在西贝门口坐车，就顺道会来这里随便吃一点午饭，然后开开心心回家。西贝的菜感...,2020-02-1213:05
2,邓阿姨,4.5,4.5,4.5,100元,前两年老吃西贝感觉味道一般，时隔一年再去觉得居然很好吃！！上菜超级快2分钟上一道菜！「西贝面筋」每...,2020-02-0917:06
3,可爱的乖,4.5,5.0,4.5,NONE,带着亲爱的宝宝来吃，西贝的菜品不多，就那几种，价格也不断的在涨，活动也一直不多，基本上没啥活动，最爱...,NONE
4,不敢为天下先,4.0,4.0,4.5,NONE,这家西贝好多年了，那时候还不是这样的连锁，转型很成功,NONE
5,是小文吖,4.0,4.5,4.5,NONE,一直都很火爆的一家餐厅，周末和朋友一起过来吃。陕北风味餐厅，有很多地方特色小吃，以面食居多。喜欢吃...,2020-02-0516:14
6,仙人掌,2.5,4.0,5.0,NONE,现在越来越觉得西贝一般了，菜品太少，适合孩子的也少。就是服务还一如既往的好罢了,NONE
7,匿名用户,5.0,5.0,5.0,115元,这里是西贝的总店，单独的一栋楼，有两层带电梯。服务很好，从停车到开门指引一条龙服务，二楼的包间很大，...,2020-02-0216:58
8,kokoko010,4.0,4.5,5.0,NONE,[薄荷]环境：店前有停车位，但比较紧张。店内环境不错，大堂干净整洁，有很多包间。[服务铃]服务：服务员...,2020-02-0215:47
9,引爆冰点,4.0,4.0,4.0,NONE,[薄荷]环境：[薄荷]环境：一直环境就不错，而且越做越前卫，干净整洁，给人非常舒服的感觉。[服务铃]服...,2020-02-0110:24
10,CatherineKwong,5.0,5.0,5.0,NONE,春疫情期间还能正常营业真是太不容易了，和家人出去吃饭，找了好几家店都不开门，包间很大，提供宝宝餐具...,2020-02-0110:04
11,sea_maide88,4.0,4.0,4.0,100元,非常时期，西贝家还能开门真是不错，两个人进了包间，大厅里也没几个人。上菜很快，点的牛窝骨，酸汤莜面，...,2020-01-3118:20
12,音乐小智,3.0,4.5,4.5,80元,和朋友去吃个晚饭。这家店应该是他们家旗舰店吧。好大的一栋楼，我还以为是他家开的酒店。整体装修风格都是...,2020-01-2923:47
13,jimmy2350,4.5,4.5,4.5,NONE,貌似是西贝莜麦村的总店，不一定对，开了很久。店内环境不错，应该算是北京内西贝环境较好的，整洁干净，空...,NONE
14,小谦吉爱学习,4.0,3.5,3.5,NONE,"西贝莜面村的味道还是辣么棒「烤羊肉串」味道很正宗「手撕椒麻鸡」椒麻鸡真正做到了椒和麻,麻椒油非常地...",2020-01-2821:42
