,昵称,口味,环境,服务,人均,评论,时间
0,dpuser_2061270959,1.5,2.5,0.5,NONE,因为孩子在商场上补习班，去了几次，但是昨天去的时候要了一个酸汤鱼鱼，刚要盛得时候发现里面有一根头发，瞬间没有了食欲。叫服务员过的时候都没有说声对不起，服务态度差，都不知道为什么还有人过去吃。,NONE
1,VIP9,2.5,3.5,4.5,138元,「蒙古酸湛」味道不错「烹香黄金豆」菜实在少，感觉吃几口就没有「烤羊肉串」肉串儿的味道不错，性价比不...,2019-12-1623:28
2,隔壁王叔叔,2.5,2.5,4.5,188元,「风味凉」这个味道不错，经常点「牛肉土豆条」很好吃，配合米饭「功夫鱼」貌似这个菜退市了「烹香黄...,2019-12-1623:09
3,兽兽,3.5,4.5,5.0,130元,之前去吃的，一直忘了写点评就在回龙观华联有海底捞的那一层店里面的话不是很大，但是四周都加了镜子，给...,2019-12-16  更新于2019-12-1909:52
4,你是小Deer,4.0,4.0,4.0,NONE,今日营业西贝全国连锁，第一次吃西贝还是在西安然后就爱上了，出品不惊艳，但是样样都好吃首推西红柿莜...,2019-12-1407:15
5,梅你不渴,5.0,5.0,5.0,NONE,过无数次西贝，是一家让大家都认可的餐厅，每次过周六日还带孩子的人都比较多，每次都是牛大骨给吸引过...,2019-12-1316:08
6,恩施玉露,5.0,5.0,5.0,NONE,位于华联商厦三楼的西贝莜面店总体给人感觉挺不错的，上菜挺快，在你点菜的时候商家会承诺在十五分钟上齐...,2019-12-1121:04
7,潮鎏,4.5,4.5,5.0,NONE,来他们家当然要尝尝他们家的莜面窝窝了，当然这个有的人喜欢有的人不喜欢，个人感觉还是可以的。还有他们...,2019-12-1022:23
8,终身美丽-Candy,5.0,5.0,5.0,NONE,[服务]很亲切，有位服务员是位50多岁阿姨，人特别好，说好很温柔很实在！棒棒哒[环境]可以在里面洗手方便带孩子「风味凉」每次必点！儿童餐必点，苹果好好吃,2019-12-0915:54
9,linda_跳妈,5.0,5.0,5.0,60元,报名的亲自莜面活动，饭店准备的还是很到位的，围裙帽子，气球风车，还有热茶，冬天去了很暖心。学会了做面...,2019-12-0912:48
10,是妖孽啊,5.0,5.0,5.0,120元,周末回龙观的人流量真大，又了西贝,2019-12-0815:04
11,阴天乐乐Y,5.0,5.0,5.0,NONE,“牛气冲天，蒸蒸日上”，吃的太饱了，食材放心首选！,2019-12-0609:21
12,楽然WW,5.0,5.0,5.0,123元,偷得浮生半日闲，周二中午人不多，环境没那么嘈杂，约了闺蜜吃饭，一如既往的干净菜品：出的豆腐味道一...,2019-12-0318:03
13,逛完吃土,5.0,5.0,5.0,NONE,发挥稳定的品质和口味点了浇汁莜面、酵素萝卜、羊肉串、腰子口味：莜面汁太赞了，酸甜的番茄浇汁，一...,2019-12-0217:25
14,你还在哪里见过我,4.0,3.0,4.0,NONE,过无数次的西贝，食材没问题，口味没问题。环境一如既往的吵闹，这里吃饭的小朋友太多了，可能家都是...,2019-12-0208:53
