,昵称,口味,环境,服务,人均,评论,时间
0,aaabbbccc888,5.0,5.0,5.0,NONE,#点评有礼#人不多，服务真的很好，如沐春风，快赶上海底捞了。其实西贝菜价不便宜，不过他家的菜适合小朋...,2019-11-1716:37
1,水星守护,4.0,4.0,4.0,NONE,连锁店基本上都大同小异，不管是从菜品环境的布置，都一样。目前在他们家吃外面停车场是免费的。这个免费的...,2019-11-1620:55
2,橗曉曉,5.0,5.0,5.0,NONE,华联三层位置好找服务依旧很热情几样经菜品「西红柿浇汁莜面」浇汁料充足口味酸甜「烤羊肉串」肉串...,2019-11-1618:09
3,AOKI_7878,1.0,1.0,1.0,NONE,今天点了西贝莜面回龙观华联店点了个大盘鸡整整等了40分钟然后告诉我大盘鸡卖没了那为什么不早点告诉我还...,NONE
4,四有小青年,5.0,5.0,5.0,120元,服务员态度超级好小朋友有儿童餐，看那个粥很好吃的样子，大人也厚脸皮要了一碗菜品没的说，大骨头肉也很多,NONE
5,Alisa,4.0,4.0,4.0,105元,「风味凉」这个口感很不错凉比较筋道，搭配着黄瓜丝胡萝卜丝很好吃「黄米凉糕」软软的很好看搭配着...,2019-11-1113:22
6,淡紫色风信子,4.0,4.0,4.0,100元,奔着莜面鱼鱼去的爱吃他家羊肉汤莜面鱼鱼量很大两人吃合适品小点心好像叫红豆山药糕吧忘记了味道特...,2019-11-1110:26
7,老爷张岩_9802,5.0,5.0,5.0,NONE,没拍全，光顾着聊天和猛吃啦！最早在六里桥第一次吃西贝莜面村，最少10多年前了，然后就是西单大悦城，今天...,2019-11-1017:54
8,小秋_8604,5.0,5.0,5.0,NONE,他家的花卷超级好吃哈哈，服务挺好的，环境不错,NONE
9,先扭一扭,5.0,5.0,5.0,80元,西贝简直就是不知道吃啥时候的救星,2019-11-0819:03
10,王子紳,4.0,4.0,4.0,NONE,西贝莜面村的分店遍地开花，每家生意都很火爆，看大家对于他们家主打的放心食材和不添加味精还是很认可的...,2019-11-0807:00
11,叶叶诺,5.0,5.0,5.0,NONE,小区有宝妈在组织这个活动，我就报名了。这个是西贝莜面不定期组织的活动。各个店铺基本上都有。我们选择了...,2019-11-0616:52
12,纯纯,5.0,5.0,5.0,100元,位置优越，就在商城的三层，上了电梯右手边就是店面很大，有很多张桌子，服务员服务态度非常好。再来说说性...,2019-11-0419:56
13,小文儿爷,5.0,5.0,5.0,NONE,以前的西贝没有让我觉得很好，以前菜品口感很一般，现在从敞开式厨房给就餐者供踏踏实实的放心美食，到菜...,2019-11-0321:34
14,kittyzhangss,5.0,5.0,5.0,NONE,原来没发现他家的大肉类那么好吃，只是吃其他类的。自打上次吃过之后，每次到这里都点肉。就是到晚了好多部...,NONE
